"init_id","title","init_text"
"09-0032","CREATES SPECIAL CONSTITUTIONAL RULE FOR SPEECH BASED ON THE BIBLE.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0032%20%28i829_initiative_09-0032_%28a1-s%29%29.pdf"
"09-0031","REDUCES LEGISLATIVE SESSION AND PAY BY 50%.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0031%20%28i828_initiative_09-0031%29.pdf"
"09-0030","REQUIRES PUBLIC SCHOOLS TO OFFER CHRISTMAS MUSIC. INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0030%20%28i827_initiative_09-0030%29.pdf"
"09-0029","LIMITS ON CERTAIN INSURANCE PRACTICES AND COSTS.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0029%20%28i826_initiative_09-0029%29.pdf"
"09-0028","ALLOWS AUTO INSURANCE COMPANIES TO BASE THEIR PRICES IN PART ON A DRIVER’S HISTORY OF INSURANCE COVERAGE.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0028%20%28i824_initiative_09-0028%29.pdf"
"09-0027","REDISTRICTING OF CONGRESSIONAL DISTRICTS.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0027%20%28i825_initiative_09-0027%29.pdf"
"09-0026","ELIMINATES THE LAW ALLOWING MARRIED COUPLES TO DIVORCE.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0026%20%28i823_initiative_09-0026%29.pdf"
"09-0025","CHANGES CALIFORNIA LAW TO LEGALIZE, REGULATE, AND TAX MARIJUANA.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0025%20%28i822_initiative_09-0025%29.pdf"
"09-0024","CHANGES CALIFORNIA LAW TO LEGALIZE MARIJUANA AND ALLOW IT TO BE REGULATED AND TAXED.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0024%20%28i821_initiative_09-0024_amdt_1-s%29.pdf"
"09-0023","WEALTH TAX.  INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0023%20%28i820_initiative_09-0023_amdt_1s%29.pdf"
"09-0022","CHANGES CALIFORNIA LAW TO LEGALIZE, REGULATE, AND TAX MARIJUANA.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0022%20%28i819_initiative_09-0022%29.pdf"
